fips,state,county,start_year,end_year
06001,CA,Alameda County,2004,2019
06013,CA,Contra Costa County,2004,2019
06075,CA,San Francisco County,2004,2019
08001,CO,Adams County,2004,2019
08005,CO,Arapahoe County,2004,2019
08013,CO,Boulder County,2004,2019
08014,CO,Broomfield County,2004,2019
08031,CO,Denver County,2004,2019
08035,CO,Douglas County,2004,2019
08059,CO,Jefferson County,2004,2019
09001,CT,Fairfield County,2004,2019
09003,CT,Hartford County,2004,2019
09005,CT,Litchfield County,2004,2019
09007,CT,Middlesex County,2004,2019
09009,CT,New Haven County,2004,2019
09011,CT,New London County,2004,2019
09013,CT,Tolland County,2004,2019
09015,CT,Windham County,2004,2019
13001,GA,Appling County,2004,2019
13003,GA,Atkinson County,2004,2019
13005,GA,Bacon County,2004,2019
13007,GA,Baker County,2004,2019
13009,GA,Baldwin County,2004,2019
13011,GA,Banks County,2004,2019
13013,GA,Barrow County,2004,2019
13015,GA,Bartow County,2004,2019
13017,GA,Ben Hill County,2004,2019
13019,GA,Berrien County,2004,2019
13021,GA,Bibb County,2004,2019
13023,GA,Bleckley County,2004,2019
13025,GA,Brantley County,2004,2019
13027,GA,Brooks County,2004,2019
13029,GA,Bryan County,2004,2019
13031,GA,Bulloch County,2004,2019
13033,GA,Burke County,2004,2019
13035,GA,Butts County,2004,2019
13037,GA,Calhoun County,2004,2019
13039,GA,Camden County,2004,2019
13043,GA,Candler County,2004,2019
13045,GA,Carroll County,2004,2019
13047,GA,Catoosa County,2004,2019
13049,GA,Charlton County,2004,2019
13051,GA,Chatham County,2004,2019
13053,GA,Chattahoochee County,2004,2019
13055,GA,Chattooga County,2004,2019
13057,GA,Cherokee County,2004,2019
13059,GA,Clarke County,2004,2019
13061,GA,Clay County,2004,2019
13063,GA,Clayton County,2004,2019
13065,GA,Clinch County,2004,2019
13067,GA,Cobb County,2004,2019
13069,GA,Coffee County,2004,2019
13071,GA,Colquitt County,2004,2019
13073,GA,Columbia County,2004,2019
13075,GA,Cook County,2004,2019
13077,GA,Coweta County,2004,2019
13079,GA,Crawford County,2004,2019
13081,GA,Crisp County,2004,2019
13083,GA,Dade County,2004,2019
13085,GA,Dawson County,2004,2019
13087,GA,Decatur County,2004,2019
13089,GA,DeKalb County,2004,2019
13091,GA,Dodge County,2004,2019
13093,GA,Dooly County,2004,2019
13095,GA,Dougherty County,2004,2019
13097,GA,Douglas County,2004,2019
13099,GA,Early County,2004,2019
13101,GA,Echols County,2004,2019
13103,GA,Effingham County,2004,2019
13105,GA,Elbert County,2004,2019
13107,GA,Emanuel County,2004,2019
13109,GA,Evans County,2004,2019
13111,GA,Fannin County,2004,2019
13113,GA,Fayette County,2004,2019
13115,GA,Floyd County,2004,2019
13117,GA,Forsyth County,2004,2019
13119,GA,Franklin County,2004,2019
13121,GA,Fulton County,2004,2019
13123,GA,Gilmer County,2004,2019
13125,GA,Glascock County,2004,2019
13127,GA,Glynn County,2004,2019
13129,GA,Gordon County,2004,2019
13131,GA,Grady County,2004,2019
13133,GA,Greene County,2004,2019
13135,GA,Gwinnett County,2004,2019
13137,GA,Habersham County,2004,2019
13139,GA,Hall County,2004,2019
13141,GA,Hancock County,2004,2019
13143,GA,Haralson County,2004,2019
13145,GA,Harris County,2004,2019
13147,GA,Hart County,2004,2019
13149,GA,Heard County,2004,2019
13151,GA,Henry County,2004,2019
13153,GA,Houston County,2004,2019
13155,GA,Irwin County,2004,2019
13157,GA,Jackson County,2004,2019
13159,GA,Jasper County,2004,2019
13161,GA,Jeff Davis County,2004,2019
13163,GA,Jefferson County,2004,2019
13165,GA,Jenkins County,2004,2019
13167,GA,Johnson County,2004,2019
13169,GA,Jones County,2004,2019
13171,GA,Lamar County,2004,2019
13173,GA,Lanier County,2004,2019
13175,GA,Laurens County,2004,2019
13177,GA,Lee County,2004,2019
13179,GA,Liberty County,2004,2019
13181,GA,Lincoln County,2004,2019
13183,GA,Long County,2004,2019
13185,GA,Lowndes County,2004,2019
13187,GA,Lumpkin County,2004,2019
13189,GA,McDuffie County,2004,2019
13191,GA,McIntosh County,2004,2019
13193,GA,Macon County,2004,2019
13195,GA,Madison County,2004,2019
13197,GA,Marion County,2004,2019
13199,GA,Meriwether County,2004,2019
13201,GA,Miller County,2004,2019
13205,GA,Mitchell County,2004,2019
