fips_a,fips_b
06001,06013
06001,06075
06013,06075
08001,08005
08001,08014
08001,08031
08001,08059
08005,08031
08005,08035
08005,08059
08013,08014
08013,08059
08014,08059
08031,08059
08035,08059
09001,09005
09001,09009
09003,09005
09003,09007
09003,09009
09003,09011
09003,09013
09005,09009
09007,09009
09007,09011
09011,09013
09011,09015
09013,09015
13001,13005
13001,13161
13001,13229
13001,13267
13001,13279
13001,13305
13003,13019
13003,13065
13003,13069
13003,13173
13003,13299
13005,13069
13005,13161
13005,13229
13005,13299
13007,13037
13007,13087
13007,13095
13007,13099
13007,13201
13007,13205
13009,13141
13009,13169
13009,13237
13009,13303
13009,13319
13011,13119
13011,13137
13011,13139
13011,13157
13011,13195
13011,13257
13013,13059
13013,13135
13013,13139
13013,13157
13013,13219
13013,13297
13015,13057
13015,13067
13015,13115
13015,13129
13015,13223
13015,13227
13015,13233
13017,13069
13017,13155
13017,13271
13017,13287
13017,13315
13019,13069
13019,13075
13019,13155
13019,13173
13019,13185
13019,13277
13021,13079
13021,13153
13021,13169
13021,13207
13021,13289
13023,13091
13023,13153
13023,13175
13023,13235
13023,13289
13023,13319
13025,13039
13025,13049
13025,13127
13025,13229
13025,13299
13025,13305
13027,13071
13027,13075
13027,13185
13027,13275
13029,13031
13029,13051
13029,13103
13029,13109
13029,13179
13031,13043
13031,13103
13031,13107
13031,13109
13031,13165
13031,13251
13033,13107
13033,13163
13033,13165
13033,13245
13033,13251
13035,13151
13035,13159
13035,13171
13035,13207
13035,13217
13035,13255
13037,13061
13037,13095
13037,13099
13037,13243
13037,13273
13039,13049
13039,13127
13043,13107
13043,13109
13043,13267
13043,13279
13045,13077
13045,13097
13045,13121
13045,13143
13045,13149
13045,13223
13047,13295
13047,13313
13047,47065
13049,13299
13051,13103
13051,13179
13053,13197
13053,13215
13053,13259
13053,13263
13055,13115
13055,13295
13057,13067
13057,13085
13057,13117
13057,13121
13057,13129
13057,13227
13059,13157
13059,13195
13059,13219
13059,13221
13061,13099
13061,13239
13061,13243
13063,13089
13063,13113
13063,13121
13063,13151
13063,13255
13065,13101
13065,13173
13065,13299
13067,13097
13067,13121
13067,13223
13069,13155
13069,13161
13069,13271
13069,13299
13071,13075
13071,13205
13071,13275
13071,13277
13071,13321
13073,13181
13073,13189
13073,13245
13075,13185
13075,13277
13077,13113
13077,13121
13077,13149
13077,13199
13077,13255
13077,13285
13079,13153
13079,13193
13079,13207
13079,13225
13079,13269
13079,13293
13081,13093
13081,13177
13081,13261
13081,13287
13081,13315
13081,13321
13083,13295
13083,47065
13083,47115
13085,13111
13085,13117
13085,13123
13085,13139
13085,13187
13085,13227
13087,13131
13087,13201
13087,13205
13087,13253
13089,13121
13089,13135
13089,13151
13089,13247
13091,13175
13091,13235
13091,13271
13091,13309
13091,13315
13093,13153
13093,13193
13093,13235
13093,13261
13093,13315
13095,13177
13095,13205
13095,13273
13095,13321
13097,13121
13097,13223
13099,13201
13099,13253
13101,13173
13101,13185
13103,13251
13105,13147
13105,13181
13105,13195
13105,13221
13105,13317
13107,13163
13107,13165
13107,13167
13107,13175
13107,13267
13107,13279
13107,13283
13109,13179
13109,13267
13111,13123
13111,13187
13111,13213
13111,13291
13111,47139
13113,13121
13113,13255
13115,13129
13115,13233
13115,13295
13117,13121
13117,13135
13117,13139
13119,13147
13119,13195
13119,13257
13121,13135
13123,13129
13123,13213
13123,13227
13125,13141
13125,13163
13125,13301
13125,13303
13127,13191
13127,13305
13129,13213
13129,13227
13129,13295
13129,13313
13131,13205
13131,13275
13133,13141
13133,13211
13133,13219
13133,13221
13133,13237
13133,13265
13135,13139
13135,13157
13135,13247
13135,13297
13137,13139
13137,13241
13137,13257
13137,13281
13137,13311
13139,13157
13139,13187
13139,13311
13141,13237
13141,13265
13141,13301
13141,13303
13143,13223
13143,13233
13145,13199
13145,13215
13145,13263
13145,13285
13147,13195
13149,13285
13151,13217
13151,13247
13151,13255
13153,13193
13153,13225
13153,13235
13153,13289
13155,13277
13155,13287
13157,13195
13157,13219
13159,13169
13159,13207
13159,13211
13159,13217
13159,13237
13161,13209
13161,13271
13161,13279
13161,13309
13163,13167
13163,13189
13163,13245
13163,13301
13163,13303
13165,13251
13167,13175
13167,13283
13167,13303
13167,13319
13169,13207
13169,13237
13169,13289
13169,13319
13171,13207
13171,13231
13171,13255
13171,13293
13173,13185
13175,13283
13175,13289
13175,13309
13175,13319
13177,13261
13177,13273
13177,13321
13179,13183
13179,13191
13179,13267
13181,13189
13181,13317
13183,13191
13183,13267
13183,13305
13187,13291
13187,13311
13189,13245
13189,13301
13189,13317
13191,13305
13193,13225
13193,13249
13193,13261
13193,13269
13195,13221
13197,13249
13197,13259
13197,13261
13197,13263
13197,13269
13197,13307
13199,13231
13199,13255
13199,13263
13199,13285
13199,13293
13201,13253
13205,13275
13205,13321
13207,13293
13209,13279
13209,13283
13209,13309
13211,13217
13211,13219
13211,13237
13211,13297
13213,13313
13213,47011
13213,47139
13215,13263
13217,13247
13217,13297
13219,13221
13219,13297
13221,13265
13221,13317
13223,13233
13225,13269
13229,13299
13229,13305
13231,13255
13231,13293
13235,13315
13239,13243
13239,13259
13241,13281
13243,13259
13243,13273
13243,13307
13247,13297
13249,13261
13249,13269
13259,13307
13261,13273
13261,13307
13263,13269
13263,13293
13265,13301
13265,13317
13267,13279
13267,13305
13269,13293
13271,13309
13271,13315
13273,13307
13277,13287
13277,13321
13279,13283
13281,13291
13281,13311
13283,13309
13287,13315
13287,13321
13289,13319
13291,13311
13295,13313
13295,47065
13301,13317
13303,13319
13313,47011
13313,47065
24001,24023
24001,24043
24003,24005
24003,24009
24003,24027
24003,24029
24003,24033
24003,24035
24003,24041
24003,24510
24005,24013
24005,24025
24005,24027
24005,24029
24005,24510
24009,24017
24009,24019
24009,24033
24009,24037
24009,24041
24011,24019
24011,24035
24011,24041
24013,24021
24013,24027
24015,24025
24015,24029
24017,24033
24017,24037
24019,24037
24019,24039
24019,24041
24019,24045
24021,24027
24021,24031
24021,24043
24025,24029
24027,24031
24027,24033
24029,24035
24031,24033
24035,24041
24037,24039
24039,24045
24039,24047
24045,24047
27001,27017
27001,27021
27001,27035
27001,27061
27001,27065
27001,27095
27001,27115
27001,27137
27003,27025
27003,27053
27003,27059
27003,27123
27003,27141
27003,27163
27005,27027
27005,27029
27005,27057
27005,27087
27005,27107
27005,27111
27005,27159
27007,27021
27007,27029
27007,27057
27007,27061
27007,27071
27007,27077
27007,27089
27007,27113
27007,27135
27009,27095
27009,27097
27009,27141
27009,27145
27011,27073
27011,27149
27011,27151
27011,27155
27013,27015
27013,27043
27013,27079
27013,27091
27013,27103
27013,27161
27013,27165
27015,27033
27015,27103
27015,27127
27015,27129
27015,27165
27017,27115
27017,27137
27019,27053
27019,27085
27019,27139
27019,27143
27019,27171
27021,27035
27021,27057
27021,27061
27021,27097
27021,27153
27021,27159
27023,27067
27023,27073
27023,27129
27023,27151
27023,27173
27025,27059
27025,27065
27025,27115
27025,27163
27027,27107
27027,27111
27027,27167
27029,27057
27029,27087
27029,27113
27029,27119
27031,27075
27033,27063
27033,27101
27033,27105
27033,27127
27033,27165
27035,27095
27035,27097
27037,27049
27037,27053
27037,27123
27037,27131
27037,27139
27037,27163
27039,27049
27039,27099
27039,27109
27039,27131
27039,27147
27041,27051
27041,27111
27041,27121
27041,27145
27041,27149
27041,27153
27043,27047
27043,27091
27043,27161
27045,27055
27045,27099
27045,27109
27045,27169
27047,27099
27047,27147
27047,27161
27049,27109
27049,27131
27049,27157
27051,27111
27051,27121
27051,27149
27051,27155
27051,27167
27053,27123
27053,27139
27053,27141
27053,27171
27055,27169
27057,27159
27059,27065
27059,27095
27059,27115
27059,27141
27061,27071
27061,27137
27063,27091
27063,27105
27063,27165
27065,27095
27065,27115
27067,27093
27067,27121
27067,27129
27067,27145
27067,27151
27069,27089
27069,27135
27071,27077
27071,27137
27073,27151
27073,27173
27075,27137
27077,27135
27079,27103
27079,27131
27079,27139
27079,27143
27079,27161
27081,27083
27081,27117
27081,27173
27083,27101
27083,27117
27083,27127
27083,27173
27085,27093
27085,27129
27085,27143
27085,27171
27087,27107
27087,27119
27089,27113
27089,27119
27089,27135
27091,27165
27093,27129
27093,27145
27093,27171
27095,27097
27095,27141
27097,27145
27097,27153
27099,27109
27099,27147
27101,27105
27101,27117
27101,27127
27101,27133
27103,27129
27103,27143
27105,27133
27107,27119
27109,27157
27109,27169
27111,27153
27111,27159
27111,27167
27113,27119
27113,27125
27117,27133
27119,27125
27121,27145
27121,27149
27121,27151
27123,27163
27127,27129
27127,27173
27129,27143
27129,27173
27131,27139
27131,27147
27131,27161
27139,27143
27141,27145
27141,27171
27145,27153
27145,27171
27147,27161
27149,27151
27149,27155
27153,27159
27155,27167
27157,27169
35001,35006
35001,35043
35001,35049
35001,35057
35001,35061
35003,35006
35003,35017
35003,35051
35003,35053
35005,35011
35005,35015
35005,35025
35005,35027
35005,35035
35005,35041
35006,35031
35006,35043
35006,35053
35006,35061
35007,35021
35007,35033
35007,35055
35007,35059
35009,35037
35009,35041
35011,35019
35011,35027
35011,35037
35011,35041
35013,35029
35013,35035
35013,35051
35015,35025
35015,35035
35017,35023
35017,35029
35017,35051
35019,35027
35019,35037
35019,35047
35019,35057
35021,35033
35021,35037
35021,35047
35021,35059
35023,35029
35025,35041
35027,35035
35027,35051
35027,35053
35027,35057
35028,35039
35028,35043
35028,35049
35029,35051
35031,35043
35031,35045
35033,35039
35033,35047
35033,35049
35033,35055
35035,35051
35037,35041
35037,35047
35037,35059
35039,35043
35039,35045
35039,35049
35039,35055
35043,35045
35043,35049
35047,35049
35047,35057
35049,35057
35051,35053
35053,35057
35053,35061
35057,35061
36001,36021
36001,36039
36001,36083
36001,36091
36001,36093
36001,36095
36003,36009
36003,36051
36003,36101
36003,36121
36009,36013
36009,36029
36009,36121
36013,36029
36015,36097
36015,36101
36019,36031
36019,36033
36021,36039
36021,36083
36025,36039
36025,36077
36025,36095
36029,36037
36029,36063
36029,36121
36031,36033
36031,36041
36031,36113
36031,36115
36033,36041
36035,36041
36035,36057
36035,36091
36037,36051
36037,36055
36037,36063
36037,36073
36037,36121
36039,36083
36039,36095
36041,36091
36041,36113
36051,36055
36051,36069
36051,36101
36051,36121
36055,36069
36055,36073
36055,36117
36057,36077
36057,36091
36057,36093
36057,36095
36063,36073
36069,36099
36069,36101
36069,36117
36069,36123
36077,36095
36083,36091
36083,36115
36091,36093
36091,36113
36091,36115
36093,36095
36097,36099
36097,36101
36097,36123
36099,36117
36099,36123
36101,36123
36113,36115
41001,41023
41001,41045
41001,41061
41001,41063
41003,41039
41003,41041
41003,41043
41003,41053
41005,41027
41005,41047
41005,41051
41005,41065
41005,41067
41005,41071
41007,41009
41007,41057
41007,41067
41009,41051
41009,41057
41009,41067
41011,41015
41011,41019
41013,41017
41013,41023
41013,41025
41013,41031
41013,41069
41015,41019
41015,41033
41017,41025
41017,41031
41017,41035
41017,41037
41017,41039
41017,41043
41019,41029
41019,41033
41019,41035
41019,41039
41021,41049
41021,41055
41021,41065
41021,41069
41023,41025
41023,41045
41023,41049
41023,41059
41023,41061
41023,41069
41025,41037
41025,41045
41027,41051
41027,41065
41029,41033
41029,41035
41031,41043
41031,41047
41031,41065
41031,41069
41035,41037
41035,41039
41039,41041
41039,41043
41041,41053
41041,41057
41043,41047
41043,41053
41047,41053
41047,41065
41047,41071
41049,41059
41049,41069
41051,41067
41053,41057
41053,41071
41055,41065
41057,41067
41057,41071
41059,41061
41059,41063
41061,41063
41065,41069
41067,41071
47001,47013
47001,47093
47001,47129
47001,47145
47001,47151
47001,47173
47003,47031
47003,47103
47003,47117
47003,47127
47003,47149
47005,47017
47005,47039
47005,47079
47005,47083
47005,47085
47005,47135
47005,47161
47007,47035
47007,47065
47007,47143
47007,47153
47007,47175
47009,47093
47009,47105
47009,47123
47009,47155
47011,47065
47011,47107
47011,47121
47011,47139
47013,47025
47013,47151
47013,47173
47015,47031
47015,47041
47015,47149
47015,47177
47015,47189
47017,47039
47017,47053
47017,47077
47017,47079
47017,47113
47017,47183
47019,47091
47019,47163
47019,47171
47019,47179
47021,47037
47021,47043
47021,47125
47021,47147
47021,47187
47023,47069
47023,47071
47023,47077
47023,47109
47023,47113
47025,47057
47025,47067
47025,47173
47027,47087
47027,47111
47027,47133
47027,47137
47029,47059
47029,47063
47029,47089
47029,47155
47031,47051
47031,47061
47031,47127
47031,47149
47031,47177
47033,47045
47033,47053
47033,47075
47033,47097
47033,47113
47035,47049
47035,47129
47035,47141
47035,47143
47035,47145
47035,47175
47035,47185
47037,47147
47037,47149
47037,47165
47037,47187
47037,47189
47039,47071
47039,47077
47039,47135
47039,47181
47041,47141
47041,47159
47041,47177
47041,47185
47041,47189
47043,47081
47043,47083
47043,47085
47043,47125
47043,47187
47045,47053
47045,47095
47045,47097
47045,47131
47047,47069
47047,47075
47047,47157
47047,47167
47049,47129
47049,47133
47049,47137
47049,47141
47049,47151
47051,47061
47051,47103
47051,47115
47051,47127
47053,47113
47053,47131
47053,47183
47055,47099
47055,47103
47055,47117
47055,47119
47057,47063
47057,47067
47057,47073
47057,47089
47057,47093
47057,47173
47059,47063
47059,47073
47059,47171
47059,47179
47061,47115
47061,47153
47061,47177
47063,47073
47063,47089
47065,47115
47065,47121
47065,47143
47065,47153
47067,47073
47069,47075
47069,47109
47069,47113
47071,47077
47071,47109
47071,47181
47073,47163
47073,47179
47075,47097
47075,47113
47075,47167
47077,47113
47079,47161
47079,47183
47081,47085
47081,47101
47081,47119
47081,47135
47081,47187
47083,47085
47083,47125
47083,47161
47085,47135
47087,47111
47087,47133
47087,47141
47087,47159
47089,47093
47089,47155
47091,47163
47093,47105
47093,47145
47093,47155
47093,47173
47095,47131
47097,47167
47099,47101
47099,47119
47099,47181
47101,47119
47101,47135
47101,47181
47103,47117
